[mea_500kV_1]一次侧数据[16]---kV/kA
	TIME	Va	Vb	Vc	Ia	Ib	Ic	Vab	Vbc	Vca	freq	P	Q	pf	3I0	3V0
    0.003292,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000
    0.006625,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000
    0.009958,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000
    0.013292,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000
    0.016625,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000
    0.019958,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000
    0.023292,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000
    0.026625,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000
    0.029958,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000
    0.033292,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000
    0.036625,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000
    0.039958,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000
    0.043292,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000
    0.046625,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000
    0.049958,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000
    0.053292,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000
    0.056625,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000
    0.059958,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000
    0.063292,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000
    0.066625,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000
    0.069958,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000
    0.073292,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000
    0.076625,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000
    0.079958,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000
    0.083292,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000
    0.086625,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000
    0.089958,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000
    0.093292,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000
    0.096625,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000
    0.099958,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000
    0.103292,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000
    0.106625,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000
    0.109958,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000
    0.113292,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000
    0.116625,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000
    0.119958,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000
    0.123292,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000
    0.126625,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000
    0.129958,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000
    0.133292,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000
    0.136625,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000
    0.139958,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000
    0.143292,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000
    0.146625,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000
    0.149958,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000
    0.153292,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000
    0.156625,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000
    0.159958,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000
    0.163292,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000
    0.166625,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000
    0.169958,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000
    0.173292,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000
    0.176625,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000
    0.179958,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000
    0.183292,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000,	    0.000000
