[mea_500kV_1]二次侧数据---kV/kA
	TIME	Va	Vb	Vc	Ia	Ib	Ic	Vab	Vbc	Vca	freq	P	Q	pf	3I0	3V0
    0.006208,	    2.321674,	    0.981908,	    1.317774,	    0.000000,	    0.000000,	    0.000000,	    2.222554,	    1.814551,	    2.996421,	   94.190367,	    8.090841,	   -0.028638,	    0.999994,	    0.000000,	    0.000000
    0.012875,	    7.909954,	    1.797112,	    2.873923,	    0.000000,	    0.000000,	    0.000000,	    7.533467,	    3.453033,	    9.532002,	   67.164450,	   74.056416,	   -3.300044,	    0.999009,	    0.000000,	   -0.000000
    0.019542,	   13.906303,	    3.743004,	    3.338294,	    0.000000,	    0.000000,	    0.000000,	   14.216268,	    5.033603,	   15.275321,	   56.504549,	  218.539549,	   18.304334,	    0.996511,	    0.000000,	    0.000000
    0.026208,	   18.220068,	    5.521985,	    6.793338,	    0.000000,	    0.000000,	    0.000000,	   17.086691,	    9.302021,	   20.353493,	   56.081917,	  408.612648,	   27.837630,	    0.997687,	    0.000000,	   -0.000000
    0.032875,	   28.158843,	    6.463868,	    8.397430,	    0.000000,	    0.000000,	    0.000000,	   25.954067,	   10.622538,	   31.779434,	   53.814503,	  905.218834,	  -39.158162,	    0.999066,	    0.000000,	   -0.000000
    0.039542,	   36.087502,	    8.488804,	    7.342086,	    0.000000,	    0.000000,	    0.000000,	   35.520506,	   11.385511,	   38.768623,	   52.691837,	 1428.273824,	  110.288944,	    0.997032,	    0.000000,	    0.534351
    0.046208,	   40.812928,	   10.342339,	   12.619063,	    0.000000,	    0.000000,	    0.000000,	   37.952001,	   16.791126,	   43.270610,	   52.235877,	 1931.899857,	   42.193476,	    0.999762,	    0.000000,	   -4.994011
    0.052875,	   51.106479,	   11.290606,	   14.067918,	    0.000000,	    0.000000,	    0.000000,	   46.747508,	   17.200979,	   55.261654,	   51.746769,	 2937.256264,	 -212.554706,	    0.997392,	    0.000000,	   10.035624
    0.059542,	   59.294082,	   13.314189,	   11.522708,	    0.000000,	    0.000000,	    0.000000,	   57.909912,	   15.744871,	   62.512716,	   51.426436,	 3825.828598,	   88.385242,	    0.999733,	    0.000000,	   -4.525408
    0.066208,	   63.531293,	   14.613360,	   15.800194,	    0.000000,	    0.000000,	    0.000000,	   58.878498,	   20.373687,	   64.018813,	   50.225555,	 4499.421626,	   67.157192,	    0.999889,	    0.000000,	  -11.413149
    0.072875,	   68.951958,	   14.555477,	   17.113582,	    0.000000,	    0.000000,	    0.000000,	   62.857819,	   19.888722,	   70.401468,	   49.438767,	 5259.109161,	 -168.853563,	    0.999485,	    0.000000,	   19.909326
    0.079542,	   70.597333,	   14.563766,	   14.381681,	    0.000000,	    0.000000,	    0.000000,	   68.243917,	   16.187809,	   72.638466,	   50.176062,	 5402.919490,	   79.142458,	    0.999893,	    0.000000,	   -5.014142
    0.086208,	   70.485666,	   15.755154,	   15.990032,	    0.000000,	    0.000000,	    0.000000,	   63.651847,	   19.483176,	   68.949725,	   50.034482,	 5472.135081,	   -3.851423,	    1.000000,	    0.000000,	  -22.468524
    0.092875,	   70.494762,	   17.789811,	   18.138727,	    0.000000,	    0.000000,	    0.000000,	   59.361428,	   23.939272,	   69.167190,	   49.985505,	 5615.002274,	 -244.567241,	    0.999053,	    0.000000,	   30.269489
    0.099542,	   70.498789,	   19.681528,	   18.243695,	    0.000000,	    0.000000,	    0.000000,	   63.686089,	   26.317796,	   72.198565,	   50.005057,	 5690.274172,	 -342.215685,	    0.998196,	    0.000000,	   -3.780562
    0.106208,	   70.495778,	   22.717196,	   17.283741,	    0.000000,	    0.000000,	    0.000000,	   68.612914,	   28.060970,	   68.091331,	   50.002892,	 5784.453339,	 -329.938367,	    0.998377,	    0.000000,	  -29.487251
    0.112875,	   70.496373,	   30.326933,	   18.605080,	    0.000000,	    0.000000,	    0.000000,	   62.970714,	   38.427475,	   67.807161,	   50.000197,	 6235.610412,	 -505.499395,	    0.996730,	    0.000000,	   31.269296
    0.119542,	   70.496380,	   35.871915,	   18.669211,	    0.000000,	    0.000000,	    0.000000,	   67.898242,	   42.986969,	   71.956152,	   49.999073,	 6605.073336,	 -885.774958,	    0.991127,	    0.000000,	    2.185329
    0.126208,	   70.496326,	   39.799407,	   17.896821,	    0.000000,	    0.000000,	    0.000000,	   80.092527,	   43.252518,	   67.507394,	   49.998183,	 6874.020951,	 -996.691850,	    0.989651,	    0.000000,	  -35.635238
    0.132875,	   70.496537,	   48.480669,	   19.039413,	    0.000000,	    0.000000,	    0.000000,	   72.350275,	   50.074507,	   67.255063,	   49.998886,	 7682.636230,	-1424.635163,	    0.983238,	    0.000000,	   33.577639
    0.139542,	   70.496558,	   54.915940,	   18.527771,	    0.000000,	    0.000000,	    0.000000,	   77.434156,	   52.889403,	   70.827600,	   49.999007,	 8328.803479,	-2077.188875,	    0.970280,	    0.000000,	    2.674281
    0.146208,	   70.496517,	   57.881753,	   20.831539,	    0.000000,	    0.000000,	    0.000000,	   95.428041,	   52.720563,	   74.685070,	   49.998801,	 8754.009264,	-2196.776140,	    0.969926,	    0.000000,	  -36.808150
    0.152875,	   70.496523,	   59.317753,	   29.590807,	    0.000000,	    0.000000,	    0.000000,	   83.272260,	   50.862684,	   74.997124,	   49.999242,	 9363.971451,	-2481.280110,	    0.966639,	    0.000000,	   35.392448
    0.159542,	   70.496530,	   59.269353,	   29.395276,	    0.000000,	    0.000000,	    0.000000,	   83.146819,	   51.481273,	   74.941600,	   49.999613,	 9346.699133,	-2767.055248,	    0.958863,	    0.000000,	    0.957652
    0.166208,	   70.496530,	   59.302812,	   30.165503,	    0.000000,	    0.000000,	    0.000000,	   97.590606,	   47.551319,	   83.295081,	   49.999797,	 9396.541857,	-2276.206056,	    0.971891,	    0.000000,	  -37.031332
    0.172875,	   70.496522,	   59.295646,	   46.543274,	    0.000000,	    0.000000,	    0.000000,	   83.260591,	   47.100782,	   86.625117,	   49.999818,	10652.009629,	-2313.139867,	    0.977224,	    0.000000,	   36.539019
    0.179542,	   70.496509,	   59.292269,	   45.041579,	    0.000000,	    0.000000,	    0.000000,	   83.176065,	   51.778285,	   82.837254,	   49.999941,	10514.074731,	-3219.553769,	    0.956176,	    0.000000,	    0.106669
    0.186208,	   70.496517,	   59.294614,	   40.245782,	    0.000000,	    0.000000,	    0.000000,	   97.579669,	   45.954771,	   92.964482,	   50.000060,	10105.333263,	-2137.285006,	    0.978357,	    0.000000,	  -36.703591
    0.192875,	   70.496525,	   59.294578,	   56.226392,	    0.000000,	    0.000000,	    0.000000,	   83.259610,	   50.224286,	   95.808243,	   50.000008,	11647.014191,	-2071.048345,	    0.984556,	    0.000000,	   36.565275
    0.199542,	   70.496513,	   59.294258,	   48.040181,	    0.000000,	    0.000000,	    0.000000,	   83.179797,	   54.736578,	   85.900975,	   50.000021,	10793.426352,	-3391.311075,	    0.954017,	    0.000000,	    0.593538
    0.206208,	   70.496517,	   59.294361,	   39.950008,	    0.000000,	    0.000000,	    0.000000,	   97.579724,	   45.967244,	   92.714927,	   50.000062,	10081.583283,	-1993.845098,	    0.980999,	    0.000000,	  -37.868803
    0.212875,	   70.496525,	   59.294497,	   56.239163,	    0.000000,	    0.000000,	    0.000000,	   83.259362,	   50.258377,	   95.817150,	   50.000030,	11648.440889,	-2073.635548,	    0.984522,	    0.000000,	   37.363682
    0.219542,	   70.496515,	   59.294493,	   48.051322,	    0.000000,	    0.000000,	    0.000000,	   83.180077,	   54.719367,	   85.921026,	   50.000021,	10794.525107,	-3391.102973,	    0.954031,	    0.000000,	    1.059310
    0.226208,	   70.496518,	   59.294458,	   39.942283,	    0.000000,	    0.000000,	    0.000000,	   97.579888,	   45.966361,	   92.708104,	   50.000032,	10080.977876,	-1993.118225,	    0.981010,	    0.000000,	  -39.091640
    0.232875,	   70.496525,	   59.294459,	   56.239749,	    0.000000,	    0.000000,	    0.000000,	   83.259300,	   50.260900,	   95.816775,	   50.000017,	11648.502221,	-2074.061570,	    0.984516,	    0.000000,	   38.140443
    0.239542,	   70.496515,	   59.294455,	   48.051472,	    0.000000,	    0.000000,	    0.000000,	   83.179986,	   54.717997,	   85.923041,	   50.000009,	10794.535017,	-3391.081664,	    0.954031,	    0.000000,	    1.507299
    0.246208,	   70.496519,	   59.294456,	   39.942304,	    0.000000,	    0.000000,	    0.000000,	   97.579854,	   45.966385,	   92.708758,	   50.000009,	10080.979363,	-1993.025686,	    0.981012,	    0.000000,	  -40.312045
    0.252875,	   70.496525,	   59.294456,	   56.240100,	    0.000000,	    0.000000,	    0.000000,	   83.259290,	   50.261550,	   95.816757,	   50.000004,	11648.541310,	-2074.101344,	    0.984515,	    0.000000,	   38.889594
