[mea_500kV_1]同期数据---kV/kA
TIME		V-local		V-remote		f-local		f-remote		Delta-V		Delta-Theta		Delta-f		Delta-w
    0.005792,	 1.906\155.269,	 0.340\221.430,	   94.190367,	   -1.#IND00,	    1.566304,	  293.838666,	   -1.#IND00,	   -1.#IND00
    0.012458,	 8.728\311.821,	 0.806\12.908,	   67.164450,	   -1.#IND00,	    7.921979,	  298.912107,	   -1.#IND00,	   -1.#IND00
    0.019125,	16.911\95.421,	 1.971\168.134,	   56.504549,	   -1.#IND00,	   14.940048,	  287.287400,	   -1.#IND00,	   -1.#IND00
    0.025792,	24.022\214.611,	 2.101\327.274,	   56.081917,	   94.569568,	   21.921625,	  247.336702,	  -38.487651,	 -241.825037
    0.032458,	38.912\334.635,	 1.380\45.966,	   53.814503,	   -1.#IND00,	   37.531907,	  288.668928,	   -1.#IND00,	   -1.#IND00
    0.039125,	50.088\102.463,	 3.174\166.735,	   52.691837,	   -1.#IND00,	   46.914697,	  295.727803,	   -1.#IND00,	   -1.#IND00
    0.045792,	56.957\221.318,	 2.185\302.219,	   52.235877,	   80.595383,	   54.771592,	  279.099420,	  -28.359506,	 -178.188026
    0.052458,	71.777\339.963,	 5.049\ 4.613,	   51.746769,	   -1.#IND00,	   66.727971,	  335.349422,	   -1.#IND00,	   -1.#IND00
    0.059125,	83.282\103.946,	 7.720\159.738,	   51.426436,	   -1.#IND00,	   75.562401,	  304.208120,	   -1.#IND00,	   -1.#IND00
    0.065792,	89.411\224.241,	 3.488\275.661,	   50.225555,	   63.062380,	   85.923601,	  308.580071,	  -12.836824,	  -80.656145
    0.072458,	97.423\344.507,	 9.552\ 1.352,	   49.438767,	   -1.#IND00,	   87.871431,	  343.155263,	   -1.#IND00,	   -1.#IND00
    0.079125,	99.837\106.130,	11.995\157.780,	   50.176062,	   -1.#IND00,	   87.842295,	  308.349994,	   -1.#IND00,	   -1.#IND00
    0.085792,	99.681\226.176,	 5.307\264.732,	   50.034482,	   37.521582,	   94.374674,	  321.444685,	   12.512899,	   78.620864
    0.092458,	99.695\346.191,	14.229\ 3.889,	   49.985505,	   -1.#IND00,	   85.465647,	  342.302565,	   -1.#IND00,	   -1.#IND00
    0.099125,	99.700\106.183,	17.637\164.667,	   50.005057,	   -1.#IND00,	   82.063764,	  301.515635,	   -1.#IND00,	   -1.#IND00
    0.105792,	99.696\226.183,	 7.864\301.026,	   50.002892,	   23.098963,	   91.832545,	  285.157015,	   26.903929,	  169.042366
    0.112458,	99.697\346.184,	13.571\13.334,	   50.000197,	   -1.#IND00,	   86.125705,	  332.849844,	   -1.#IND00,	   -1.#IND00
