[mea_500kV_1]二次侧数据---kV/kA
	TIME	Va	Vb	Vc	Ia	Ib	Ic	Vab	Vbc	Vca	freq	P	Q	pf	3I0	3V0
    0.199125,	   70.496517,	   59.294498,	   45.559503,	    1.049991,	    1.049991,	    1.049991,	   85.648463,	   54.022252,	   85.596855,	   49.999891,	10561.264672,	-3348.286087,	    0.953241,	    0.000000,	    6.192104
    0.398708,	   70.496514,	   59.294448,	   43.158907,	    1.049991,	    1.049991,	    1.049991,	   88.223343,	   53.051918,	   85.720607,	   49.999993,	10348.281269,	-3246.441779,	    0.954149,	    0.000000,	   13.298003
    0.598292,	   70.496514,	   59.294448,	   41.020499,	    1.049991,	    1.049991,	    1.049991,	   90.728355,	   51.900016,	   86.240568,	   49.999993,	10168.271406,	-3092.904231,	    0.956721,	    0.000000,	   18.902320
    0.797875,	   70.496514,	   59.294449,	   39.351589,	    1.049991,	    1.049991,	    1.049991,	   93.004700,	   50.621607,	   87.129288,	   49.999993,	10034.137717,	-2898.005692,	    0.960733,	    0.000000,	   24.183159
    0.997458,	   70.496515,	   59.294449,	   38.333174,	    1.049991,	    1.049991,	    1.049991,	   94.918760,	   49.297522,	   88.316207,	   49.999993,	 9955.022584,	-2675.030200,	    0.965742,	    0.000000,	   29.050154
    1.197041,	   70.496516,	   59.294450,	   38.088421,	    1.049991,	    1.049991,	    1.049991,	   96.364973,	   48.017963,	   89.710430,	   49.999993,	 9936.318395,	-2439.175484,	    0.971166,	    0.000000,	   33.420017
    1.396625,	   70.496517,	   59.294451,	   38.648533,	    1.049991,	    1.049991,	    1.049991,	   97.267313,	   46.877199,	   91.209767,	   49.999993,	 9979.300003,	-2206.517102,	    0.976417,	    0.000000,	   37.217966
    1.596208,	   70.496518,	   59.294453,	   39.943042,	    1.049991,	    1.049991,	    1.049991,	   97.579858,	   45.965910,	   92.709464,	   49.999993,	10081.037838,	-1992.912754,	    0.981014,	    0.000000,	   40.379009
    1.795791,	   70.496520,	   59.294454,	   41.821119,	    1.049991,	    1.049991,	    1.049991,	   97.286961,	   45.361557,	   94.109674,	   49.999993,	10234.597575,	-1812.921443,	    0.984671,	    0.000000,	   42.849049
    1.995375,	   70.496521,	   59.294455,	   44.089918,	    1.049991,	    1.049991,	    1.049991,	   96.403281,	   45.118197,	   95.321301,	   49.999993,	10429.512780,	-1678.811149,	    0.987291,	    0.000000,	   44.585818
    2.194958,	   70.496523,	   59.294456,	   46.550039,	    1.049991,	    1.049991,	    1.049991,	   94.973755,	   45.258238,	   96.270245,	   49.999993,	10652.498277,	-1599.722659,	    0.988911,	    0.000000,	   45.559595
    2.394541,	   70.496524,	   59.294456,	   49.017989,	    1.049991,	    1.049991,	    1.049991,	   93.073436,	   45.768740,	   96.900297,	   49.999993,	10888.355657,	-1581.046545,	    0.989622,	    0.000000,	   45.753715
