[mea_500kV_1]一次侧数据[479]---kV/kA
	TIME	Va	Vb	Vc	Ia	Ib	Ic	Vab	Vbc	Vca	freq	P	Q	pf	3I0	3V0
    0.199542,	  280.988744,	  280.988702,	  280.988723,	    1.049991,	    1.049991,	    1.049991	   85.648463,	   54.022252,	   85.596855,	   49.999891,	10561.264672,	-3348.286087,	    0.953241,	   -1.#IND00,	    6.192104
    0.399125,	  280.988740,	  280.988701,	  280.988724,	    1.049991,	    1.049991,	    1.049991	   88.223343,	   53.051918,	   85.720607,	   49.999993,	10348.281269,	-3246.441779,	    0.954149,	   -1.#IND00,	   13.298003
    0.598708,	  280.988743,	  280.988704,	  280.988718,	    1.049991,	    1.049991,	    1.049991	   90.728355,	   51.900016,	   86.240568,	   49.999993,	10168.271406,	-3092.904231,	    0.956721,	   -1.#IND00,	   18.902320
    0.798292,	  280.988744,	  280.988709,	  280.988713,	    1.049991,	    1.049991,	    1.049991	   93.004700,	   50.621607,	   87.129288,	   49.999993,	10034.137717,	-2898.005692,	    0.960733,	   -1.#IND00,	   24.183159
    0.997875,	  280.988744,	  280.988714,	  280.988708,	    1.049991,	    1.049991,	    1.049991	   94.918760,	   49.297522,	   88.316207,	   49.999993,	 9955.022584,	-2675.030200,	    0.965742,	   -1.#IND00,	   29.050154
    1.197458,	  280.988742,	  280.988720,	  280.988704,	    1.049991,	    1.049991,	    1.049991	   96.364973,	   48.017963,	   89.710430,	   49.999993,	 9936.318395,	-2439.175484,	    0.971166,	   -1.#IND00,	   33.420017
    1.397041,	  280.988739,	  280.988725,	  280.988701,	    1.049991,	    1.049991,	    1.049991	   97.267313,	   46.877199,	   91.209767,	   49.999993,	 9979.300003,	-2206.517102,	    0.976417,	   -1.#IND00,	   37.217966
    1.596625,	  280.988735,	  280.988731,	  280.988700,	    1.049991,	    1.049991,	    1.049991	   97.579858,	   45.965910,	   92.709464,	   49.999993,	10081.037838,	-1992.912754,	    0.981014,	   -1.#IND00,	   40.379009
    1.796208,	  280.988730,	  280.988736,	  280.988700,	    1.049991,	    1.049991,	    1.049991	   97.286961,	   45.361557,	   94.109674,	   49.999993,	10234.597575,	-1812.921443,	    0.984671,	   -1.#IND00,	   42.849049
    1.995791,	  280.988724,	  280.988740,	  280.988701,	    1.049991,	    1.049991,	    1.049991	   96.403281,	   45.118197,	   95.321301,	   49.999993,	10429.512780,	-1678.811149,	    0.987291,	   -1.#IND00,	   44.585818
    2.195375,	  280.988718,	  280.988743,	  280.988705,	    1.049991,	    1.049991,	    1.049991	   94.973755,	   45.258238,	   96.270245,	   49.999993,	10652.498277,	-1599.722659,	    0.988911,	   -1.#IND00,	   45.559595
    2.394958,	  280.988713,	  280.988744,	  280.988709,	    1.049991,	    1.049991,	    1.049991	   93.073436,	   45.768740,	   96.900297,	   49.999993,	10888.355657,	-1581.046545,	    0.989622,	   -1.#IND00,	   45.753715
