[mea_500kV_1]同期数据---kV/kA
TIME		V-local		V-remote		f-local		f-remote		Delta-V		Delta-Theta		Delta-f		Delta-w
    0.198708,	99.697\98.683,	 5.823\178.319,	   49.999891,	   -1.#IND00,	   93.874491,	  280.364468,	   -1.#IND00,	   -1.#IND00
    0.398292,	99.697\91.183,	 1.028\35.614,	   49.999993,	   -1.#IND00,	   98.669545,	   55.569299,	   -1.#IND00,	   -1.#IND00
    0.597875,	99.697\83.682,	 0.460\61.848,	   49.999993,	   -1.#IND00,	   99.236983,	   21.833944,	   -1.#IND00,	   -1.#IND00
    0.797458,	95.059\76.992,	13.303\14.288,	   50.002515,	   -1.#IND00,	   81.756368,	   62.704461,	   -1.#IND00,	   -1.#IND00
    0.997042,	95.059\69.492,	13.819\ 7.516,	   49.999994,	   -1.#IND00,	   81.239693,	   61.975869,	   -1.#IND00,	   -1.#IND00
    1.196625,	95.059\61.991,	14.007\ 3.658,	   49.999993,	   -1.#IND00,	   81.051936,	   58.333278,	   -1.#IND00,	   -1.#IND00
    1.396208,	95.059\54.491,	14.017\359.854,	   49.999993,	   -1.#IND00,	   81.041655,	   54.636146,	   -1.#IND00,	   -1.#IND00
    1.595791,	95.059\46.990,	13.850\356.008,	   49.999993,	   -1.#IND00,	   81.209197,	   50.982265,	   -1.#IND00,	   -1.#IND00
    1.795375,	95.059\39.489,	13.509\352.016,	   49.999993,	   -1.#IND00,	   81.549399,	   47.473189,	   -1.#IND00,	   -1.#IND00
    1.994958,	95.059\31.989,	13.007\347.766,	   49.999993,	   -1.#IND00,	   82.051418,	   44.223019,	   -1.#IND00,	   -1.#IND00
    2.194541,	95.059\24.488,	12.361\343.120,	   49.999993,	   -1.#IND00,	   82.698257,	   41.368734,	   -1.#IND00,	   -1.#IND00
    2.394125,	95.059\16.988,	11.593\337.905,	   49.999993,	   -1.#IND00,	   83.465894,	   39.082832,	   -1.#IND00,	   -1.#IND00
