[mea_500kV_1]二次侧数据[5, 4]---kV/kA
	TIME	Va	Vb	Vc	Ia	Ib	Ic	Vab	Vbc	Vca	freq	P	Q	pf	3I0	3V0
    0.199125,	   70.496517,	   59.294498,	   45.559503,	    1.049991,	    1.049991,	    1.049991,	   85.648463,	   54.022252,	   85.596855,	   49.999891,	10561.264672,	-3348.286087,	    0.953241,	    0.000000,	    6.192104
    0.398708,	   70.496514,	   59.294448,	   43.158907,	    1.049991,	    1.049991,	    1.049991,	   88.223343,	   53.051918,	   85.720607,	   49.999993,	10348.281269,	-3246.441779,	    0.954149,	    0.000000,	   13.298003
    0.598292,	   70.496514,	   59.294448,	   41.020499,	    1.049991,	    1.049991,	    1.049991,	   90.728355,	   51.900016,	   86.240568,	   49.999993,	10168.271406,	-3092.904231,	    0.956721,	    0.000000,	   18.902320
    0.797875,	   67.217116,	   58.231576,	   43.314314,	    0.912116,	   18.228414,	    1.001169,	   92.471506,	   52.073693,	   87.674896,	   50.002515,	 9785.187044,	-3007.050652,	    0.955883,	    0.000000,	   53.304622
    0.997458,	   67.216757,	   58.242391,	   41.531634,	    0.912115,	   18.231100,	    1.001169,	   94.529356,	   51.330722,	   88.485153,	   49.999994,	 9635.145087,	-2833.890690,	    0.959365,	    0.000000,	   61.439476
    1.197041,	   67.216758,	   58.242394,	   40.466767,	    0.912115,	   18.231210,	    1.001169,	   96.229454,	   50.478850,	   89.613000,	   49.999993,	 9547.828235,	-2626.551110,	    0.964182,	    0.000000,	   67.758373
    1.396625,	   67.216759,	   58.242395,	   40.085997,	    0.912115,	   18.231214,	    1.001169,	   97.471508,	   49.577622,	   90.967119,	   49.999993,	 9517.156416,	-2403.675320,	    0.969555,	    0.000000,	   72.917672
    1.596208,	   67.216760,	   58.242396,	   40.434505,	    0.912115,	   18.231214,	    1.001169,	   98.189423,	   48.687470,	   92.447459,	   49.999993,	 9545.218776,	-2180.455862,	    0.974888,	    0.000000,	   76.829139
    1.795791,	   67.216762,	   58.242397,	   41.470866,	    0.912115,	   18.231214,	    1.001169,	   98.346008,	   47.871322,	   93.949621,	   49.999993,	 9630.102620,	-1972.107091,	    0.979669,	    0.000000,	   79.425837
    1.995375,	   67.216763,	   58.242399,	   43.078442,	    0.912115,	   18.231213,	    1.001169,	   97.933247,	   47.189968,	   95.372576,	   49.999993,	 9766.022373,	-1792.829795,	    0.983564,	    0.000000,	   80.663329
    2.194958,	   67.216764,	   58.242400,	   45.093718,	    0.912114,	   18.231213,	    1.001169,	   96.972345,	   46.696610,	   96.624851,	   49.999993,	 9943.713916,	-1654.843288,	    0.986433,	    0.000000,	   80.520437
    2.394541,	   67.216765,	   58.242401,	   47.337039,	    0.912114,	   18.231213,	    1.001169,	   95.513594,	   46.431254,	   97.629115,	   49.999993,	10151.066019,	-1567.552555,	    0.988286,	    0.000000,	   78.999608
