[mea_500kV_1]一次侧数据[479]---kV/kA
	TIME	Va	Vb	Vc	Ia	Ib	Ic	Vab	Vbc	Vca	freq	P	Q	pf	3I0	3V0
    0.199542,	  280.988744,	  280.988702,	  280.988723,	    1.049991,	    1.049991,	    1.049991	   85.648463,	   54.022252,	   85.596855,	   49.999891,	10561.264672,	-3348.286087,	    0.953241,	    0.000000,	   50.508669
    0.399125,	  280.988740,	  280.988701,	  280.988724,	    1.049991,	    1.049991,	    1.049991	   88.223343,	   53.051918,	   85.720607,	   49.999993,	10348.281269,	-3246.441779,	    0.954149,	    0.000000,	   52.108961
    0.598708,	  280.988743,	  280.988704,	  280.988718,	    1.049991,	    1.049991,	    1.049991	   90.728355,	   51.900016,	   86.240568,	   49.999993,	10168.271406,	-3092.904231,	    0.956721,	    0.000000,	   51.544180
    0.798292,	  267.916185,	    0.018771,	  290.974315,	    0.912116,	   18.228414,	    1.001169	   92.471506,	   52.073693,	   87.674896,	   50.002515,	 9785.187044,	-3007.050652,	    0.955883,	    9.644622,	   59.722179
    0.997875,	  267.916110,	    0.018774,	  290.974467,	    0.912115,	   18.231100,	    1.001169	   94.529356,	   51.330722,	   88.485153,	   49.999994,	 9635.145087,	-2833.890690,	    0.959365,	   12.644590,	   63.190229
    1.197458,	  267.916109,	    0.018774,	  290.974462,	    0.912115,	   18.231210,	    1.001169	   96.229454,	   50.478850,	   89.613000,	   49.999993,	 9547.828235,	-2626.551110,	    0.964182,	   15.461323,	   64.704117
    1.397041,	  267.916106,	    0.018774,	  290.974459,	    0.912115,	   18.231214,	    1.001169	   97.471508,	   49.577622,	   90.967119,	   49.999993,	 9517.156416,	-2403.675320,	    0.969555,	   18.014912,	   65.110644
    1.596625,	  267.916103,	    0.018774,	  290.974457,	    0.912115,	   18.231214,	    1.001169	   98.189423,	   48.687470,	   92.447459,	   49.999993,	 9545.218776,	-2180.455862,	    0.974888,	   20.260300,	   64.402940
    1.796208,	  267.916098,	    0.018774,	  290.974457,	    0.912115,	   18.231214,	    1.001169	   98.346008,	   47.871322,	   93.949621,	   49.999993,	 9630.102620,	-1972.107091,	    0.979669,	   22.159000,	   62.593114
    1.995791,	  267.916092,	    0.018774,	  290.974458,	    0.912115,	   18.231213,	    1.001169	   97.933247,	   47.189968,	   95.372576,	   49.999993,	 9766.022373,	-1792.829795,	    0.983564,	   23.678516,	   59.712139
    2.195375,	  267.916087,	    0.018774,	  290.974461,	    0.912114,	   18.231213,	    1.001169	   96.972345,	   46.696610,	   96.624851,	   49.999993,	 9943.713916,	-1654.843288,	    0.986433,	   24.792844,	   55.809317
    2.394958,	  267.916082,	    0.018774,	  290.974465,	    0.912114,	   18.231213,	    1.001169	   95.513594,	   46.431254,	   97.629115,	   49.999993,	10151.066019,	-1567.552555,	    0.988286,	   25.482913,	   50.951435
