[mea_500kV_1]同期数据---kV/kA
TIME		V-local		V-remote		f-local		f-remote		Delta-V		Delta-Theta		Delta-f		Delta-w
    0.198708,	99.697\98.683,	 3.321\35.842,	   49.999891,	   -1.#IND00,	   96.376171,	   62.841387,	   -1.#IND00,	   -1.#IND00
    0.398292,	99.697\91.183,	10.674\ 9.472,	   49.999993,	   -1.#IND00,	   89.022816,	   81.711097,	   -1.#IND00,	   -1.#IND00
    0.597875,	99.697\83.682,	10.965\ 4.858,	   49.999993,	   -1.#IND00,	   88.731938,	   78.824741,	   -1.#IND00,	   -1.#IND00
    0.797458,	95.059\76.992,	20.866\ 6.559,	   50.002515,	   -1.#IND00,	   74.193321,	   70.433288,	   -1.#IND00,	   -1.#IND00
    0.997042,	95.059\69.492,	21.662\ 1.409,	   49.999994,	   -1.#IND00,	   73.397136,	   68.083013,	   -1.#IND00,	   -1.#IND00
    1.196625,	95.059\61.991,	21.927\358.083,	   49.999993,	   -1.#IND00,	   73.131991,	   63.907928,	   -1.#IND00,	   -1.#IND00
    1.396208,	95.059\54.491,	21.889\354.792,	   49.999993,	   -1.#IND00,	   73.169471,	   59.698238,	   -1.#IND00,	   -1.#IND00
    1.595791,	95.059\46.990,	21.550\351.444,	   49.999993,	   -1.#IND00,	   73.508592,	   55.546122,	   -1.#IND00,	   -1.#IND00
    1.795375,	95.059\39.489,	20.919\347.940,	   49.999993,	   -1.#IND00,	   74.140023,	   51.549551,	   -1.#IND00,	   -1.#IND00
    1.994958,	95.059\31.989,	20.013\344.166,	   49.999993,	   -1.#IND00,	   75.045760,	   47.822492,	   -1.#IND00,	   -1.#IND00
    2.194541,	95.059\24.488,	18.861\339.980,	   49.999993,	   -1.#IND00,	   76.198313,	   44.507941,	   -1.#IND00,	   -1.#IND00
    2.394125,	95.059\16.988,	17.500\335.192,	   49.999993,	   -1.#IND00,	   77.559153,	   41.795921,	   -1.#IND00,	   -1.#IND00
