[mea_500kV_1]二次侧数据---kV/kA
	TIME		Va		Vb		Vc		Ia		Ib		Ic		Vab		Vbc		Vca		freq		P		Q		pf		3I0		3V0
    0.199125,	  280.988744,	  280.988702,	  280.988723,	    1.049991,	    1.049991,	    1.049991,	  486.686744,	  486.686708,	  486.686781,	   49.999974,	236863.987252,	   -0.190863,	    1.000000,	    0.000000,	    0.000000
    0.398708,	  280.988740,	  280.988701,	  280.988724,	    1.049991,	    1.049991,	    1.049991,	  486.686739,	  486.686711,	  486.686778,	   49.999990,	236863.985564,	   -0.178519,	    1.000000,	    0.000000,	    0.000000
    0.598292,	  280.988743,	  280.988704,	  280.988718,	    1.049991,	    1.049991,	    1.049991,	  486.686749,	  486.686706,	  486.686773,	   49.999990,	236863.985544,	   -0.178544,	    1.000000,	    0.000000,	    0.000000
    0.797875,	  267.916185,	    0.018771,	  290.974315,	    0.912116,	   18.228414,	    1.001169,	  267.933673,	  290.959452,	  486.686766,	   50.000080,	156445.134920,	    0.063805,	    1.000000,	    9.644622,	  352.312136
    0.997458,	  267.916110,	    0.018774,	  290.974467,	    0.912115,	   18.231100,	    1.001169,	  267.933602,	  290.959602,	  486.686757,	   49.999977,	156445.182838,	   -0.105313,	    1.000000,	   12.644590,	  327.487847
    1.197041,	  267.916109,	    0.018774,	  290.974462,	    0.912115,	   18.231210,	    1.001169,	  267.933600,	  290.959598,	  486.686747,	   50.000011,	156445.179590,	   -0.104864,	    1.000000,	   15.461323,	  297.055753
    1.396625,	  267.916106,	    0.018774,	  290.974459,	    0.912115,	   18.231214,	    1.001169,	  267.933598,	  290.959594,	  486.686736,	   50.000009,	156445.176188,	   -0.105309,	    1.000000,	   18.014912,	  261.540146
    1.596208,	  267.916103,	    0.018774,	  290.974457,	    0.912115,	   18.231214,	    1.001169,	  267.933594,	  290.959592,	  486.686727,	   50.000007,	156445.173013,	   -0.106612,	    1.000000,	   20.260300,	  221.548811
    1.795791,	  267.916098,	    0.018774,	  290.974457,	    0.912115,	   18.231214,	    1.001169,	  267.933589,	  290.959592,	  486.686718,	   50.000006,	156445.170282,	   -0.108687,	    1.000000,	   22.159000,	  177.766117
    1.995375,	  267.916092,	    0.018774,	  290.974458,	    0.912115,	   18.231213,	    1.001169,	  267.933584,	  290.959593,	  486.686711,	   50.000005,	156445.168180,	   -0.111392,	    1.000000,	   23.678516,	  130.941314
    2.194958,	  267.916087,	    0.018774,	  290.974461,	    0.912114,	   18.231213,	    1.001169,	  267.933578,	  290.959596,	  486.686706,	   50.000004,	156445.166851,	   -0.114547,	    1.000000,	   24.792844,	   81.875711
    2.394541,	  267.916082,	    0.018774,	  290.974465,	    0.912114,	   18.231213,	    1.001169,	  267.933573,	  290.959600,	  486.686704,	   50.000004,	156445.166383,	   -0.117937,	    1.000000,	   25.482913,	   31.408963
