[mea_500kV_1]同期数据---kV/kA		同期电压类型：A相-相电压
TIME		V-local		V-remote		f-local		f-remote		Delta-V		Delta-a		Delta-f		Delta-w
    0.000000,	 0.003\90.000,	 0.004\270.000,	   -1.#IND00,	   -1.#IND00,	   -0.001279,	  180.000003,	   -1.#IND00,	   -1.#IND00
    0.000000,	 0.027\90.709,	 0.033\272.521,	   -1.#IND00,	   -1.#IND00,	   -0.006456,	  178.187835,	   -1.#IND00,	   -1.#IND00
    0.000375,	 0.106\92.061,	 0.099\278.095,	   -1.#IND00,	   -1.#IND00,	    0.006331,	  173.966387,	   -1.#IND00,	   -1.#IND00
    0.000792,	 0.259\93.894,	 0.178\286.498,	   -1.#IND00,	   -1.#IND00,	    0.080474,	  167.395808,	   -1.#IND00,	   -1.#IND00
    0.001208,	 0.476\96.156,	 0.241\297.709,	   -1.#IND00,	   -1.#IND00,	    0.235348,	  158.447237,	   -1.#IND00,	   -1.#IND00
    0.001625,	 0.734\98.819,	 0.277\311.991,	   65.389422,	   -1.#IND00,	    0.456778,	  146.827761,	   -1.#IND00,	   -1.#IND00
    0.002042,	 1.005\101.842,	 0.289\329.710,	   -1.#IND00,	   -1.#IND00,	    0.715141,	  132.131771,	   -1.#IND00,	   -1.#IND00
    0.002458,	 1.266\105.241,	 0.289\352.944,	   -1.#IND00,	   -1.#IND00,	    0.976772,	  112.296394,	   -1.#IND00,	   -1.#IND00
    0.002875,	 1.489\109.180,	 0.305\24.155,	   83.440395,	   -1.#IND00,	    1.184008,	   85.025343,	   -1.#IND00,	   -1.#IND00
    0.003292,	 1.658\113.792,	 0.367\55.214,	   98.291340,	   -1.#IND00,	    1.290303,	   58.578419,	   -1.#IND00,	   -1.#IND00
    0.003708,	 1.780\118.932,	 0.446\79.910,	   34.324473,	   -1.#IND00,	    1.333605,	   39.022103,	   -1.#IND00,	   -1.#IND00
    0.004125,	 1.873\124.341,	 0.522\100.578,	   -1.#IND00,	   -1.#IND00,	    1.351314,	   23.763523,	   -1.#IND00,	   -1.#IND00
    0.004542,	 1.942\130.054,	 0.605\118.109,	   48.488780,	   -1.#IND00,	    1.337192,	   11.944973,	   -1.#IND00,	   -1.#IND00
    0.004958,	 1.973\136.586,	 0.697\132.149,	  102.314908,	   -1.#IND00,	    1.276245,	    4.436428,	   -1.#IND00,	   -1.#IND00
    0.005375,	 1.957\144.747,	 0.783\143.479,	   87.819740,	   -1.#IND00,	    1.173286,	    1.267885,	   -1.#IND00,	   -1.#IND00
    0.005792,	 1.906\155.269,	 0.847\153.803,	   -1.#IND00,	   -1.#IND00,	    1.059384,	    1.466275,	   -1.#IND00,	   -1.#IND00
