[mea_500kV_1]同期数据---kV/kA		同期电压类型：A相-相电压
TIME		V-local		V-remote		f-local		f-remote		Delta-V		Delta-a		Delta-f		Delta-w
    0.000000,	 0.003\90.000,	 0.003\90.000,	   -1.#IND00,	   -1.#IND00,	    0.000000,	    0.000000,	   -1.#IND00,	   -1.#IND00
    0.000000,	 0.027\90.709,	 0.024\92.297,	   -1.#IND00,	   -1.#IND00,	    0.002533,	   -1.588081,	   -1.#IND00,	   -1.#IND00
    0.000375,	 0.106\92.061,	 0.080\97.268,	   -1.#IND00,	   -1.#IND00,	    0.025820,	   -5.206566,	   -1.#IND00,	   -1.#IND00
    0.000792,	 0.259\93.894,	 0.161\104.233,	   -1.#IND00,	   -1.#IND00,	    0.097255,	  -10.339092,	   -1.#IND00,	   -1.#IND00
    0.001208,	 0.476\96.156,	 0.250\112.678,	   -1.#IND00,	   -1.#IND00,	    0.226134,	  -16.522283,	   -1.#IND00,	   -1.#IND00
    0.001625,	 0.734\98.819,	 0.333\122.181,	   65.389422,	   -1.#IND00,	    0.400325,	  -23.362311,	   -1.#IND00,	   -1.#IND00
    0.002042,	 1.005\101.842,	 0.404\132.377,	   -1.#IND00,	   -1.#IND00,	    0.601001,	  -30.534974,	   -1.#IND00,	   -1.#IND00
    0.002458,	 1.266\105.241,	 0.454\143.648,	   -1.#IND00,	   -1.#IND00,	    0.812039,	  -38.407591,	   -1.#IND00,	   -1.#IND00
    0.002875,	 1.489\109.180,	 0.477\157.420,	   83.440395,	   -1.#IND00,	    1.012191,	  -48.239760,	   -1.#IND00,	   -1.#IND00
    0.003292,	 1.658\113.792,	 0.480\173.756,	   98.291340,	   -1.#IND00,	    1.177636,	  -59.964115,	   -1.#IND00,	   -1.#IND00
    0.003708,	 1.780\118.932,	 0.469\190.913,	   34.324473,	   -1.#IND00,	    1.310437,	  -71.981494,	   -1.#IND00,	   -1.#IND00
    0.004125,	 1.873\124.341,	 0.446\208.692,	   -1.#IND00,	   -1.#IND00,	    1.427002,	  -84.350834,	   -1.#IND00,	   -1.#IND00
    0.004542,	 1.942\130.054,	 0.424\228.709,	   48.488780,	   -1.#IND00,	    1.518023,	  -98.654286,	   -1.#IND00,	   -1.#IND00
    0.004958,	 1.973\136.586,	 0.426\251.297,	  102.314908,	  132.379124,	    1.546883,	 -114.711052,	  -30.064216,	 -188.899040
    0.005375,	 1.957\144.747,	 0.466\273.469,	   87.819740,	   48.902932,	    1.490503,	 -128.722286,	   38.916807,	  244.521508
    0.005792,	 1.906\155.269,	 0.532\292.561,	   -1.#IND00,	   -1.#IND00,	    1.374390,	 -137.291613,	   -1.#IND00,	   -1.#IND00
    0.006208,	 1.857\168.693,	 0.611\308.048,	   18.519170,	   -1.#IND00,	    1.245869,	 -139.355580,	   -1.#IND00,	   -1.#IND00
    0.006625,	 1.860\185.159,	 0.704\319.064,	   87.631872,	   -1.#IND00,	    1.156033,	 -133.904490,	   -1.#IND00,	   -1.#IND00
    0.007042,	 1.977\203.369,	 0.805\326.061,	   73.330038,	   -1.#IND00,	    1.171955,	 -122.692247,	   -1.#IND00,	   -1.#IND00
    0.007458,	 2.239\220.704,	 0.901\331.193,	   -1.#IND00,	   -1.#IND00,	    1.337952,	 -110.489364,	   -1.#IND00,	   -1.#IND00
    0.007875,	 2.630\235.428,	 0.982\335.806,	   52.704210,	   -1.#IND00,	    1.647969,	 -100.377299,	   -1.#IND00,	   -1.#IND00
    0.008292,	 3.121\247.451,	 1.044\340.049,	   78.194051,	   -1.#IND00,	    2.076976,	  -92.597109,	   -1.#IND00,	   -1.#IND00
    0.008708,	 3.696\257.336,	 1.087\343.606,	   56.408581,	   -1.#IND00,	    2.608938,	  -86.270223,	   -1.#IND00,	   -1.#IND00
    0.009125,	 4.339\265.603,	 1.109\346.993,	   -1.#IND00,	   -1.#IND00,	    3.230222,	  -81.390018,	   -1.#IND00,	   -1.#IND00
    0.009542,	 5.021\272.682,	 1.106\351.539,	   48.770782,	   -1.#IND00,	    3.915112,	  -78.857514,	   -1.#IND00,	   -1.#IND00
    0.009958,	 5.708\278.946,	 1.074\357.273,	   74.128823,	   -1.#IND00,	    4.633512,	  -78.326450,	   -1.#IND00,	   -1.#IND00
    0.010375,	 6.374\284.685,	 1.012\ 3.108,	   59.928489,	   -1.#IND00,	    5.361936,	  -78.423179,	   -1.#IND00,	   -1.#IND00
    0.010792,	 6.999\290.115,	 0.924\ 8.969,	   18.526186,	   -1.#IND00,	    6.074787,	  -78.854418,	   -1.#IND00,	   -1.#IND00
    0.011208,	 7.560\295.413,	 0.820\16.088,	   53.903587,	   -1.#IND00,	    6.739416,	  -80.675290,	   -1.#IND00,	   -1.#IND00
    0.011625,	 8.039\300.731,	 0.716\26.382,	   72.634170,	   -1.#IND00,	    7.322656,	  -85.651390,	   -1.#IND00,	   -1.#IND00
    0.012042,	 8.427\306.177,	 0.627\41.310,	   60.619282,	   -1.#IND00,	    7.800522,	  -95.133077,	   -1.#IND00,	   -1.#IND00
    0.012458,	 8.728\311.821,	 0.569\60.924,	   26.359061,	   -1.#IND00,	    8.158833,	 -109.103237,	   -1.#IND00,	   -1.#IND00
    0.012875,	 8.941\317.760,	 0.574\83.484,	   52.761925,	   53.408503,	    8.366104,	 -125.724061,	   -0.646578,	   -4.062568
    0.013292,	 9.062\324.164,	 0.666\103.748,	   73.534673,	  118.675305,	    8.396845,	 -139.583972,	  -45.140632,	 -283.626951
    0.013708,	 9.102\331.207,	 0.817\118.801,	   66.046406,	  147.377733,	    8.284968,	 -147.594089,	  -81.331327,	 -511.019787
    0.014125,	 9.082\339.033,	 0.993\129.959,	   37.399983,	  108.709017,	    8.089186,	 -150.926419,	  -71.309033,	 -448.047862
    0.014542,	 9.038\347.746,	 1.175\138.538,	   55.737226,	   -1.#IND00,	    7.863524,	 -150.792193,	   -1.#IND00,	   -1.#IND00
    0.014958,	 9.016\357.405,	 1.355\145.036,	   70.919452,	   31.668537,	    7.660769,	 -147.631402,	   39.250915,	  246.620768
    0.015375,	 9.071\ 7.972,	 1.532\149.750,	   62.167103,	   99.143050,	    7.538733,	 -141.777677,	  -36.975947,	 -232.326725
    0.015792,	 9.258\19.222,	 1.696\153.504,	   35.814327,	   -1.#IND00,	    7.561973,	 -134.282705,	   -1.#IND00,	   -1.#IND00
    0.016208,	 9.623\30.751,	 1.838\157.053,	   54.520839,	   -1.#IND00,	    7.784884,	 -126.301060,	   -1.#IND00,	   -1.#IND00
    0.016625,	10.190\42.133,	 1.951\160.346,	   66.874073,	   -1.#IND00,	    8.238474,	 -118.212792,	   -1.#IND00,	   -1.#IND00
    0.017042,	10.967\53.004,	 2.035\163.266,	   57.232084,	   -1.#IND00,	    8.932299,	 -110.261550,	   -1.#IND00,	   -1.#IND00
    0.017458,	11.940\63.111,	 2.086\166.076,	   35.229132,	   -1.#IND00,	    9.853609,	 -102.965576,	   -1.#IND00,	   -1.#IND00
    0.017875,	13.069\72.345,	 2.101\169.082,	   52.384265,	   -1.#IND00,	   10.968467,	  -96.736779,	   -1.#IND00,	   -1.#IND00
    0.018292,	14.306\80.731,	 2.076\172.437,	   63.786201,	   -1.#IND00,	   12.229961,	  -91.706357,	   -1.#IND00,	   -1.#IND00
    0.018708,	15.601\88.378,	 2.011\175.993,	   56.279841,	   -1.#IND00,	   13.590400,	  -87.615302,	   -1.#IND00,	   -1.#IND00
    0.019125,	16.911\95.421,	 1.907\179.630,	   39.114340,	   -1.#IND00,	   15.004202,	  -84.209210,	   -1.#IND00,	   -1.#IND00
    0.019542,	18.189\101.999,	 1.771\183.855,	   52.367147,	   -1.#IND00,	   16.418427,	  -81.855274,	   -1.#IND00,	   -1.#IND00
    0.019958,	19.375\108.262,	 1.608\189.346,	   64.068020,	   -1.#IND00,	   17.766848,	  -81.083887,	   -1.#IND00,	   -1.#IND00
    0.020375,	20.408\114.371,	 1.425\196.537,	   61.069556,	   -1.#IND00,	   18.982921,	  -82.166633,	   -1.#IND00,	   -1.#IND00
    0.020792,	21.252\120.466,	 1.233\206.163,	   48.365915,	   -1.#IND00,	   20.019215,	  -85.697005,	   -1.#IND00,	   -1.#IND00
    0.021208,	21.903\126.648,	 1.056\219.570,	   53.964056,	   -1.#IND00,	   20.846850,	  -92.921885,	   -1.#IND00,	   -1.#IND00
    0.021625,	22.373\132.993,	 0.938\238.146,	   61.304175,	   -1.#IND00,	   21.435029,	 -105.153526,	   -1.#IND00,	   -1.#IND00
    0.022042,	22.678\139.567,	 0.927\260.536,	   58.245681,	   52.144325,	   21.750987,	 -120.969305,	    6.101356,	   38.335952
    0.022458,	22.846\146.423,	 1.035\281.652,	   46.227317,	   84.552166,	   21.810495,	 -135.229321,	  -38.324849,	 -240.802122
    0.022875,	22.913\153.583,	 1.233\298.106,	   50.660221,	  111.839593,	   21.679054,	 -144.523337,	  -61.179372,	 -384.401323
    0.023292,	22.913\161.080,	 1.490\309.780,	   58.739558,	  141.244899,	   21.423088,	 -148.699647,	  -82.505341,	 -518.396336
    0.023708,	22.880\168.997,	 1.775\317.996,	   59.330921,	  148.846644,	   21.105138,	 -148.999296,	  -89.515723,	 -562.443864
    0.024125,	22.860\177.411,	 2.065\324.108,	   51.333465,	  105.993542,	   20.795441,	 -146.696291,	  -54.660076,	 -343.439383
    0.024542,	22.916\186.316,	 2.344\328.982,	   51.985461,	   77.272133,	   20.571568,	 -142.666116,	  -25.286673,	 -158.880847
    0.024958,	23.103\195.595,	 2.600\333.072,	   56.171661,	  106.005964,	   20.503053,	 -137.476895,	  -49.834303,	 -313.118154
    0.025375,	23.464\205.081,	 2.826\336.518,	   53.537956,	  103.615358,	   20.637570,	 -131.437166,	  -50.077402,	 -314.645593
    0.025792,	24.023\214.611,	 3.017\339.510,	   50.037061,	   -1.#IND00,	   21.005852,	 -124.899010,	   -1.#IND00,	   -1.#IND00
    0.026208,	24.786\224.028,	 3.164\342.349,	   52.165520,	   -1.#IND00,	   21.622154,	 -118.320890,	   -1.#IND00,	   -1.#IND00
    0.026625,	25.738\233.193,	 3.262\345.133,	   55.798322,	   -1.#IND00,	   22.476567,	 -111.940028,	   -1.#IND00,	   -1.#IND00
    0.027042,	26.853\242.019,	 3.307\347.834,	   53.200864,	   -1.#IND00,	   23.545381,	 -105.814926,	   -1.#IND00,	   -1.#IND00
    0.027458,	28.102\250.468,	 3.299\350.508,	   48.590537,	   -1.#IND00,	   24.803194,	 -100.040071,	   -1.#IND00,	   -1.#IND00
