[mea_500kV_1]二次侧数据---kV/kA
TIME		Va		Vb		Vc		Ia		Ib		Ic		Vab		Vbc		Vca		freq		P		Q		pf		3I0		3V0
    0.019125,	   45.616672,	   51.603710,	   56.863115,	    0.176705,	    0.196899,	    0.217472,	   79.083711,	   98.548631,	   89.250470,	   56.279841,	 7977.237519,	   -6.224392,	    1.000000,	    0.000000,	    0.000000
    0.038708,	  133.597890,	  135.613591,	  145.358531,	    0.506137,	    0.510815,	    0.548725,	  226.604903,	  247.369967,	  244.057270,	   51.053936,	57368.544645,	   -7.836301,	    1.000000,	    0.000000,	    0.000000
    0.058292,	  226.060097,	  224.375478,	  236.182509,	    0.852109,	    0.842652,	    0.887786,	  383.552953,	  401.434799,	  404.260233,	   49.709592,	157229.700396,	   -7.086529,	    1.000000,	    0.000000,	   -0.000000
    0.077875,	  280.927234,	  280.254454,	  280.571879,	    1.052072,	    1.048349,	    1.049811,	  486.009012,	  485.392796,	  486.558137,	   51.524267,	236183.248976,	  -50.945022,	    1.000000,	    0.000000,	   -0.000000
    0.097458,	  280.996403,	  280.989890,	  280.991914,	    1.050258,	    1.049981,	    1.050009,	  486.695119,	  486.687342,	  486.698623,	   49.335908,	236870.752470,	   27.878822,	    1.000000,	    0.000000,	   -0.000000
    0.117042,	  280.994291,	  280.994071,	  280.993666,	    1.050018,	    1.049991,	    1.049987,	  486.696495,	  486.695413,	  486.695795,	   50.154995,	236872.899932,	    1.145086,	    1.000000,	    0.000000,	   -0.000000
    0.136625,	  280.994108,	  280.994115,	  280.993951,	    1.049994,	    1.049993,	    1.049991,	  486.696171,	  486.695898,	  486.695886,	   49.964177,	236872.981848,	   -0.022138,	    1.000000,	    0.000000,	   -0.000000
    0.156208,	  280.994004,	  280.994062,	  280.993949,	    1.049992,	    1.049992,	    1.049991,	  486.695990,	  486.695895,	  486.695795,	   50.007163,	236872.892604,	   -0.143115,	    1.000000,	    0.000000,	   -0.000000
    0.175792,	  280.993999,	  280.994015,	  280.993947,	    1.049991,	    1.049992,	    1.049991,	  486.695932,	  486.695842,	  486.695813,	   49.997708,	236872.862409,	   -0.153822,	    1.000000,	    0.000000,	   -0.000000
    0.195375,	  280.993974,	  280.994006,	  280.993952,	    1.049991,	    1.049992,	    1.049991,	  486.695890,	  486.695851,	  486.695795,	   50.000574,	236872.845929,	   -0.167222,	    1.000000,	    0.000000,	   -0.000000
    0.214958,	  280.993967,	  280.993998,	  280.993953,	    1.049991,	    1.049991,	    1.049991,	  486.695872,	  486.695847,	  486.695794,	   49.999802,	236872.838265,	   -0.171388,	    1.000000,	    0.000000,	   -0.000000
    0.234542,	  280.993960,	  280.993994,	  280.993956,	    1.049991,	    1.049991,	    1.049991,	  486.695857,	  486.695851,	  486.695791,	   50.000074,	236872.833795,	   -0.175381,	    1.000000,	    0.000000,	   -0.000000
    0.254125,	  280.993955,	  280.993992,	  280.993961,	    1.049991,	    1.049991,	    1.049991,	  486.695846,	  486.695857,	  486.695792,	   50.000031,	236872.832355,	   -0.177620,	    1.000000,	    0.000000,	   -0.000000
    0.273708,	  280.993950,	  280.993989,	  280.993966,	    1.049991,	    1.049991,	    1.049991,	  486.695834,	  486.695863,	  486.695794,	   49.999966,	236872.831104,	   -0.177815,	    1.000000,	    0.000000,	   -0.000000
    0.293292,	  280.993947,	  280.993986,	  280.993972,	    1.049991,	    1.049991,	    1.049991,	  486.695824,	  486.695867,	  486.695800,	   50.000008,	236872.830891,	   -0.178369,	    1.000000,	    0.000000,	   -0.000000
    0.312875,	  280.993946,	  280.993982,	  280.993978,	    1.049991,	    1.049991,	    1.049991,	  486.695814,	  486.695869,	  486.695807,	   49.999985,	236872.830800,	   -0.178613,	    1.000000,	    0.000000,	   -0.000000
    0.332458,	  280.993946,	  280.993976,	  280.993983,	    1.049991,	    1.049991,	    1.049991,	  486.695805,	  486.695868,	  486.695816,	   49.999988,	236872.830622,	   -0.178700,	    1.000000,	    0.000000,	   -0.000000
    0.352042,	  280.993948,	  280.993970,	  280.993987,	    1.049991,	    1.049991,	    1.049991,	  486.695798,	  486.695865,	  486.695826,	   49.999995,	236872.830657,	   -0.178722,	    1.000000,	   -0.000000,	   -0.000000
    0.371625,	  280.993951,	  280.993965,	  280.993989,	    1.049991,	    1.049991,	    1.049991,	  486.695793,	  486.695860,	  486.695836,	   49.999992,	236872.830671,	   -0.178731,	    1.000000,	    0.000000,	   -0.000000
    0.391208,	  280.993955,	  280.993959,	  280.993991,	    1.049991,	    1.049991,	    1.049991,	  486.695791,	  486.695852,	  486.695846,	   49.999993,	236872.830690,	   -0.178752,	    1.000000,	   -0.000000,	   -0.000000
    0.410792,	  280.993960,	  280.993954,	  280.993991,	    1.049991,	    1.049991,	    1.049991,	  486.695791,	  486.695843,	  486.695855,	   49.999993,	236872.830707,	   -0.178737,	    1.000000,	    0.000000,	   -0.000000
    0.430375,	  280.993966,	  280.993950,	  280.993989,	    1.049991,	    1.049991,	    1.049991,	  486.695794,	  486.695833,	  486.695862,	   49.999993,	236872.830743,	   -0.178727,	    1.000000,	   -0.000000,	   -0.000000
    0.449958,	  280.993972,	  280.993947,	  280.993986,	    1.049991,	    1.049991,	    1.049991,	  486.695800,	  486.695823,	  486.695866,	   49.999993,	236872.830770,	   -0.178715,	    1.000000,	    0.000000,	   -0.000000
    0.469542,	  280.993978,	  280.993946,	  280.993981,	    1.049991,	    1.049991,	    1.049991,	  486.695807,	  486.695814,	  486.695869,	   49.999993,	236872.830797,	   -0.178701,	    1.000000,	   -0.000000,	   -0.000000
    0.489125,	  280.993983,	  280.993946,	  280.993976,	    1.049991,	    1.049991,	    1.049991,	  486.695816,	  486.695805,	  486.695868,	   49.999993,	236872.830826,	   -0.178683,	    1.000000,	   -0.000000,	   -0.000000
