[mea_500kV_1]一次侧数据---kV/kA
TIME		Va		Vb		Vc		Ia		Ib		Ic		Vab		Vbc		Vca		freq		P		Q		pf		3I0		3V0
    0.199542,	  280.993990,	  280.993948,	  280.993970,	    1.049991,	    1.049991,	    1.049991	  486.695831,	  486.695795,	  486.695868,	   49.999891,	236872.832400,	   -0.190870,	    1.000000,	    0.000000,	    0.000000
    0.399125,	  280.993987,	  280.993948,	  280.993971,	    1.049991,	    1.049991,	    1.049991	  486.695826,	  486.695798,	  486.695865,	   49.999993,	236872.830713,	   -0.178525,	    1.000000,	    0.000000,	    0.000000
    0.598708,	  280.993989,	  280.993951,	  280.993965,	    1.049991,	    1.049991,	    1.049991	  486.695836,	  486.695793,	  486.695860,	   49.999993,	236872.830692,	   -0.178551,	    1.000000,	    0.000000,	    0.000000
    0.798292,	  280.993991,	  280.993955,	  280.993959,	    1.049991,	    1.049991,	    1.049991	  486.695846,	  486.695791,	  486.695853,	   49.999993,	236872.830678,	   -0.178572,	    1.000000,	    0.000000,	   -0.000000
    0.997875,	  280.993990,	  280.993960,	  280.993954,	    1.049991,	    1.049991,	    1.049991	  486.695854,	  486.695791,	  486.695844,	   49.999993,	236872.830668,	   -0.178590,	    1.000000,	    0.000000,	   -0.000000
    1.197458,	  280.993989,	  280.993966,	  280.993950,	    1.049991,	    1.049991,	    1.049991	  486.695861,	  486.695794,	  486.695834,	   49.999993,	236872.830663,	   -0.178606,	    1.000000,	    0.000000,	   -0.000000
    1.397041,	  280.993986,	  280.993972,	  280.993947,	    1.049991,	    1.049991,	    1.049991	  486.695866,	  486.695800,	  486.695824,	   49.999993,	236872.830661,	   -0.178619,	    1.000000,	    0.000000,	   -0.000000
    1.596625,	  280.993981,	  280.993978,	  280.993946,	    1.049991,	    1.049991,	    1.049991	  486.695868,	  486.695807,	  486.695814,	   49.999993,	236872.830662,	   -0.178629,	    1.000000,	    0.000000,	   -0.000000
    1.796208,	  280.993976,	  280.993983,	  280.993946,	    1.049991,	    1.049991,	    1.049991	  486.695868,	  486.695816,	  486.695805,	   49.999993,	236872.830665,	   -0.178637,	    1.000000,	    0.000000,	   -0.000000
    1.995791,	  280.993971,	  280.993987,	  280.993948,	    1.049991,	    1.049991,	    1.049991	  486.695865,	  486.695826,	  486.695798,	   49.999993,	236872.830671,	   -0.178643,	    1.000000,	    0.000000,	   -0.000000
    2.195375,	  280.993965,	  280.993989,	  280.993951,	    1.049991,	    1.049991,	    1.049991	  486.695860,	  486.695836,	  486.695793,	   49.999993,	236872.830678,	   -0.178647,	    1.000000,	   -0.000000,	   -0.000000
    2.394958,	  280.993959,	  280.993991,	  280.993955,	    1.049991,	    1.049991,	    1.049991	  486.695852,	  486.695846,	  486.695791,	   49.999993,	236872.830687,	   -0.178650,	    1.000000,	    0.000000,	   -0.000000
