[mea_500kV_1]同期数据---kV/kA		同期电压类型：A相-相电压
TIME		V-local		V-remote		f-local		f-remote		Delta-V		Delta-a		Delta-f		Delta-w
    0.198708,	99.699\98.683,	 5.823\178.319,	   49.999891,	   -1.#IND00,	   93.876376,	  -79.635617,	   -1.#IND00,	   -1.#IND00
    0.398292,	99.699\91.183,	 1.028\35.608,	   49.999993,	   -1.#IND00,	   98.671289,	   55.574407,	   -1.#IND00,	   -1.#IND00
    0.597875,	99.699\83.682,	 0.460\61.832,	   49.999993,	   -1.#IND00,	   99.238794,	   21.850172,	   -1.#IND00,	   -1.#IND00
    0.797458,	99.699\76.182,	 0.454\153.020,	   49.999993,	   -1.#IND00,	   99.244775,	  -76.837916,	   -1.#IND00,	   -1.#IND00
    0.997042,	99.699\68.681,	 1.020\179.836,	   49.999993,	   -1.#IND00,	   98.679120,	 -111.154766,	   -1.#IND00,	   -1.#IND00
    1.196625,	99.699\61.181,	 1.630\187.058,	   49.999993,	   -1.#IND00,	   98.069140,	 -125.877834,	   -1.#IND00,	   -1.#IND00
    1.396208,	99.699\53.680,	 2.224\190.364,	   49.999993,	   -1.#IND00,	   97.475259,	 -136.683924,	   -1.#IND00,	   -1.#IND00
    1.595791,	99.699\46.179,	 2.784\192.298,	   49.999993,	   -1.#IND00,	   96.915135,	 -146.119054,	   -1.#IND00,	   -1.#IND00
    1.795375,	99.699\38.679,	 3.298\193.602,	   49.999993,	   -1.#IND00,	   96.400530,	 -154.923716,	   -1.#IND00,	   -1.#IND00
    1.994958,	99.699\31.178,	 3.758\194.569,	   49.999993,	   -1.#IND00,	   95.941115,	 -163.390327,	   -1.#IND00,	   -1.#IND00
    2.194541,	99.699\23.678,	 4.154\195.336,	   49.999993,	   -1.#IND00,	   95.545167,	 -171.657995,	   -1.#IND00,	   -1.#IND00
    2.394125,	99.699\16.177,	 4.479\195.979,	   49.999993,	   -1.#IND00,	   95.219684,	 -179.802111,	   -1.#IND00,	   -1.#IND00
