[mea_500kV_1]一次侧数据---kV/kA
		TIME		Va		Vb		Vc		Ia		Ib		Ic		Vab		Vbc		Vca		freq		P		Q		pf		3I0		3V0
    0.099542,	  280.996602,	  280.995767,	  280.995614,	    1.050239,	    1.049999,	    1.050129	  486.699997,	  486.698286,	  486.699732,	   49.831795,	236876.245878,	   -6.373433,	    1.000000,	    0.000000,	    0.000000
    0.199125,	  280.993996,	  280.993961,	  280.993967,	    1.049991,	    1.049991,	    1.049991	  486.695854,	  486.695804,	  486.695865,	   50.000264,	236872.841446,	   -0.173681,	    1.000000,	    0.000000,	    0.000000
    0.298708,	  280.993989,	  280.993951,	  280.993965,	    1.049991,	    1.049991,	    1.049991	  486.695836,	  486.695794,	  486.695860,	   49.999985,	236872.830986,	   -0.178651,	    1.000000,	    0.000000,	    0.000000
    0.398292,	  280.993991,	  280.993955,	  280.993959,	    1.049991,	    1.049991,	    1.049991	  486.695846,	  486.695791,	  486.695853,	   49.999993,	236872.830661,	   -0.178568,	    1.000000,	    0.000000,	   -0.000000
    0.497875,	  280.993990,	  280.993960,	  280.993954,	    1.049991,	    1.049991,	    1.049991	  486.695854,	  486.695791,	  486.695844,	   49.999993,	236872.830641,	   -0.178588,	    1.000000,	    0.000000,	   -0.000000
    0.597458,	  280.993989,	  280.993966,	  280.993950,	    1.049991,	    1.049991,	    1.049991	  486.695861,	  486.695794,	  486.695834,	   49.999993,	236872.830628,	   -0.178608,	    1.000000,	   -0.000000,	   -0.000000
    0.697042,	  280.993986,	  280.993972,	  280.993947,	    1.049991,	    1.049991,	    1.049991	  486.695866,	  486.695800,	  486.695824,	   49.999993,	236872.830618,	   -0.178626,	    1.000000,	    0.000000,	   -0.000000
    0.796625,	  280.993981,	  280.993977,	  280.993946,	    1.049991,	    1.049991,	    1.049991	  486.695868,	  486.695807,	  486.695814,	   49.999993,	236872.830613,	   -0.178642,	    1.000000,	    0.000000,	   -0.000000
    0.896208,	  280.993976,	  280.993982,	  280.993946,	    1.049991,	    1.049991,	    1.049991	  486.695868,	  486.695816,	  486.695805,	   49.999993,	236872.830611,	   -0.178656,	    1.000000,	    0.000000,	   -0.000000
    0.995792,	  280.993971,	  280.993986,	  280.993948,	    1.049991,	    1.049991,	    1.049991	  486.695865,	  486.695826,	  486.695798,	   49.999993,	236872.830612,	   -0.178667,	    1.000000,	   -0.000000,	   -0.000000
    1.095375,	  280.993965,	  280.993989,	  280.993951,	    1.049991,	    1.049991,	    1.049991	  486.695860,	  486.695836,	  486.695793,	   49.999993,	236872.830616,	   -0.178677,	    1.000000,	    0.000000,	   -0.000000
