[mea_500kV_1]同期数据---kV/kA		同期电压类型：A相-相电压
		TIME		V-local		V-remote		f-local		f-remote		Delta-V		Delta-a		Delta-f		Delta-w
    0.098708,	397.389\21.612,	397.382\21.612,	   49.831795,	   50.000012,	    0.007421,	   -0.000039,	   -0.168218,	   -1.056942
    0.198292,	397.386\14.112,	397.378\14.112,	   50.000264,	   49.999940,	    0.007420,	   -0.000039,	    0.000323,	    0.002032
    0.297875,	397.386\ 6.611,	397.378\ 6.612,	   49.999985,	   49.999988,	    0.007420,	   -0.000039,	   -0.000003,	   -0.000018
    0.397458,	397.386\359.111,	397.378\359.111,	   49.999993,	   49.999990,	    0.007420,	   -0.000039,	    0.000003,	    0.000017
    0.497042,	397.386\351.611,	397.378\351.611,	   49.999993,	   49.999990,	    0.007420,	   -0.000039,	    0.000003,	    0.000018
    0.596625,	397.386\344.111,	397.378\344.111,	   49.999993,	   49.999996,	    0.007420,	   -0.000039,	   -0.000003,	   -0.000018
    0.696208,	397.386\336.610,	397.378\336.610,	   49.999993,	   49.999996,	    0.007420,	   -0.000039,	   -0.000003,	   -0.000017
    0.795792,	397.386\329.110,	397.378\329.110,	   49.999993,	   49.999995,	    0.007420,	   -0.000039,	   -0.000002,	   -0.000015
    0.895375,	397.385\321.610,	397.378\321.610,	   49.999993,	   49.999995,	    0.007420,	   -0.000039,	   -0.000002,	   -0.000014
    0.994958,	397.385\314.109,	397.378\314.110,	   49.999993,	   49.999995,	    0.007420,	   -0.000039,	   -0.000002,	   -0.000014
    1.094541,	397.385\306.609,	397.378\306.609,	   49.999993,	   49.999995,	    0.007420,	   -0.000039,	   -0.000002,	   -0.000013
